Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0622-1548_170216.fits,J0622-1548,170216, 06:22:34.23,-15:48:17.8,L1.0,0.5000006933281478,FLD-G,L2.1,0.5928605400745682,M9.2,0.39777228827668865,L0.5,0.7888909785834413
spex_prism_0356+3139_161013.fits,J0356+3139,161013, 03:56:26.73, 31:39:59.4,L0.0:,1.0239179907313853,INT-G,L2.5:,1.194343692328892,M7.3,0.41674349672127947,M8.6:,1.0646820036625282
spex_prism_0427+2559_171001.fits,J0427+2559,171001, 04:27:05.77, 25:59:12.1,M9.0,0.5008645142427545,VL-G,L1.4:,1.101943130678337,M8.9,0.5389287832109102,M8.3:,1.2330225085566362
spex_prism_0430+2301_170929.fits,J0430+2301,170929, 04:30:53.70, 23:01:32.4,M5.5:,1.0468442266324423,,T1.0,0.3034851828641116,M5.2,0.7662993865322751,,
spex_prism_1624-2350_170213.fits,J1624-2350,170213, 16:24:53.62,-23:50:26.3,L1.0:,1.006991911298588,VL-G,L1.1,0.5574940301230564,M6.6,0.32514766314275834,M9.2:,1.030522698451773
spex_prism_0107-0026_160911.fits,J0107-0026,160911, 01:07:30.76,-00:26:26.1,M5.0,0.5000014537136636,,L2.0,0.651246608591735,M4.5,0.5212588804599713,,
spex_prism_0457-0207_161031.fits,J0457-0207,161031, 04:57:46.31,-02:07:06.0,T3.0,0.5492147726542271,INT-G,T2.3,0.2637386604894265,M9.3,0.5346754768996089,,
spex_prism_0042+0604_160911.fits,J0042+0604,160911, 00:42:07.37, 06:03:55.4,M4.0,0.5032689101833178,,L2.6,0.6494274784672498,M4.2,0.4663432966293243,,
spex_prism_0021-0128_160911.fits,J0021-0128,160911, 00:21:39.83,-01:28:27.9,M5.0,0.5477574079689294,,L5.7:,1.1096379752295653,M4.3,0.512426922315897,,
spex_prism_2217-3552_161024.fits,J2217-3552,161024, 22:17:37.02,-35:52:30.9,M5.0,0.7573422748708767,,T1.2,0.4172736559154627,,,,
spex_prism_0428+2634_161012.fits,J0428+2634,161012, 04:28:06.39, 26:34:17.6,M9.0,0.6192736259239031,,L2.6,0.6717991273984836,M4.2,0.6228391385697565,,
spex_prism_0429+2425_161012.fits,J0429+2425,161012, 04:29:03.32, 24:25:55.4,L3.0:,1.2152878120046189,INT-G,L3.3,0.6771463698382113,M5.9,0.357214346284356,,
spex_prism_2234-2309_161014.fits,J2234-2309,161014, 22:34:44.19,-23:09:11.8,L6.0:,1.2073649328668978,INT-G,L9.2,0.8263737230938648,L7.4:,1.24558315174776,L7.1:,1.6681373103662418
spex_prism_2233-1331_160806.fits,J2233-1331,160806, 22:33:44.29,-13:31:14.2,M6.0,0.797618801291534,VL-G,L4.3,0.6496834625749314,M6.2,0.40226173686054023,,
spex_prism_0443+2618_171001.fits,J0443+2618,171001, 04:43:45.00, 26:18:01.8,M1.0,0.7954369938055611,,L6.2,0.6855720410249971,,,,
spex_prism_0809-0332_170216.fits,J0809-0332,170216, 08:09:09.04,-03:32:46.3,M9.0,0.5000000109830179,FLD-G,L3.7:,1.1550372895670202,M7.2,0.3693132614501295,M8.4:,1.0488934736866542
spex_prism_0426+2512_161012.fits,J0426+2512,161012, 04:26:56.91, 25:12:56.1,L2.5,0.8662338909919449,INT-G,L3.2,0.6705749519294285,M6.4,0.3657125842779541,M8.2:,1.0419863579921775
spex_prism_0421+2720_161013.fits,J0421+2720,161013, 04:21:50.20, 27:20:22.6,L1.0,0.5061937751215868,INT-G,L1.1,0.5895673123964122,M8.0,0.3801687683070589,M8.9,0.7971067802590291
spex_prism_0422+2347_161013.fits,J0422+2347,161013, 04:22:27.52, 26:47:25.4,L1.0:,1.2203281714813907,,L2.6,0.7189386233219732,M4.7,0.8393938096501188,,
spex_prism_1829-0156_170903.fits,J1829-0156,170903, 18:29:53.02,-01:56:32.6,L7.0,0.6167578102616678,VL-G,T1.2,0.9166149511132562,L2.8,0.9975530906825674,L4.7:,2.076416690908489
spex_prism_0443+2944_161012.fits,J0443+2944,161012, 04:43:06.92, 29:44:28.1,L7.0,0.6236040840401657,VL-G,L7.1,0.6748729757488305,M7.1,0.4262800310915398,,
spex_prism_1623-2517_170210.fits,J1623-2517,170210, 16:23:11.07,-25:17:33.7,L0.0:,1.1049317025903471,,L2.2,0.6475528288994616,M5.6,0.30972515284851443,,
spex_prism_0445+3141_161012.fits,J0445+3141,161012, 04:45:15.18, 31:41:28.7,M6.0,0.500502420491581,,L4.1:,1.128364976511333,M5.8,0.339859367501395,,
spex_prism_0544+0639_160921.fits,J0544+0639,160921, 05:44:55.80, 06:39:35.9,M9.0,0.518429768901623,INT-G,L1.6,0.7517650313764067,M8.5,0.3051463437296458,M9.2:,1.021927347259777
spex_prism_0219+0326.160908.fits,J0219+0326,160908, 02:19:54.14, 03:26:33.9,M4.0,0.5,,L2.6,0.6479390964597276,,,,
spex_prism_1820+2021_161024.fits,J1820+2021,161024, 18:20:09.87, 20:21:37.7,M3.0:,1.1257835984677356,VL-G,T1.2,1.5735960454537397,M8.6,1.0115520371493225,L0.7:,1.445472933745681
spex_prism_1829-0204_170831.fits,J1829-0204,170831, 18:29:55.47,-02:04:14.9,L7.0,0.5790288266638394,INT-G,L9.6:,1.1080810214500765,L0.2,0.47653904100544586,L4.5:,1.1946367050529518
